text,labels,predictions_stance,probabilities_outputs_stance
"Selline samm kohustaks mõningaid Euroopa Liidu liikmesriike, näiteks Suurbritanniat, võtma vastu palju rohkem pagulasi, sest nende naabermaadesse tagasi saatmine muutuks raskemaks.",1,1,"[0.14, 0.55, 0.31]"
"Plaanis püütakse hajutada ka aafriklaste muret, et rände piiramine kahandab aafriklaste Euroopast koju saadetava raha hulka.",2,0,"[0.68, 0.26, 0.06]"
"Näiteks on uussisserändajaid rohkesti Mustamäel, sest TTÜ ümbruses tegutseb palju välismaalastele tööd andvaid firmasid.",1,2,"[0.02, 0.49, 0.49]"
"Surmade vähenemine merel tänu karmimale migratsioonipoliitikale näitab selgelt, et tugev piirikontroll aitab hoida migratsiooni kontrolli all, kuid lisaks sellele – vastupidiselt siiani väidetule – säästab ka inimelusid.",1,2,"[0.07, 0.4, 0.54]"
"Migrandid aga tohivad piire eirates kihutada läbi terve Euroopa kuni La Manche`i väinani, et seal inimkaubitsejate abiga uut paadiretke alustada.",0,0,"[0.74, 0.21, 0.05]"
"Kui põgenikekriis sunnib nüüd EL-i taas tõsisemalt Türgi poole vaatama, on see hea, kuid niigi loogilisi ja EL-ile vajalikke arenguid oleks vale siduda pragmaatiliste põgenikeküsimustega.",1,2,"[0.11, 0.44, 0.45]"
"Ta kiitis EL senist asüülipoliiitikat, nahutas Visegradi blokki ja õhutas aina uusi pagulasmasse vastu võtma.",2,2,"[0.04, 0.09, 0.87]"
"„Valmistume koostöös laevafirmadega reisijate liikumise osaliseks taastumiseks alates 14. maist, kui hakkab olema lubatud pendelränne Eesti ja Soome vahel,” ütles ettevõtte turundus- ja kommunikatsiooniosakonna juhataja Sirle Arro.",2,2,"[0.02, 0.35, 0.63]"
"Kuigi arvud hakkavad ületama okupatsiooniaegse sisserände keskmist taset, pole tööandjate esindajate nõuded kvooti kaotada ikka kuhugi kadunud.",1,1,"[0.18, 0.68, 0.14]"
"Euroopa Komisjoni poolt pealesurutavad pagulaskvoodid ja kavandatavad trahvid neile riikidele, kes keelduvad migrante vastu võtmast, lõhuvad Euroopa ja täidavad vaid Kremli ootusi.",0,0,"[0.95, 0.03, 0.02]"
"Amet märkis, et kuni Eestis ei muudeta abielu legaaldefinitsiooni perekonnaseaduses või ei täiendata välismaalaste seadust, pole võimalik anda elamisluba samast soost isiku juurde elama asumiseks.",1,1,"[0.09, 0.74, 0.17]"
"Tegelikult on tegemist vasakäärmuslike ühendustega, kes sokutavad illegaalseid immigrante tühjatele elamispindadele.",0,0,"[0.87, 0.1, 0.03]"
"Riigikogu õiguskomisjon otsustas mai lõpus algatada välismaalasele rahvusvahelise kaitse andmise seaduse muutmise eelnõu, millega tahetakse laiendada nimekirja kuritegudest, mille eest saab inimeselt pagulasstaatuse ära võtta ja ta koduriiki tagasi saata.",1,1,"[0.3, 0.43, 0.27]"
"Ingliskeelsed õppekavad vajavad rohkem välistudengeid eri paikadest, sest peamiselt Eesti õpilaste omavaheline suhtlus inglise keeles ei ole sama kui õppida koos inimestega mujalt maailmast.",2,2,"[0.03, 0.47, 0.5]"
"Kuna rahvuslus põhineb objektiivsetel faktidel ja moraalsetel põhimõtetel, mida meie vaenlased ignoreerivad, saavad nemad üksnes nõrgeneda ja meie üksnes tugevneda – kuni hetkeni, kui me haarame poliitilise võimu, võtame oma piirid kontrolli alla, saadame välismaalased koju ning pöörame oma demograafilise ja kultuurilise allakäigu ümber.",0,0,"[0.88, 0.09, 0.03]"
Liège'ist idas asuv 56 000 elanikuga Verviers on tuntud radikaliseerunud moslemite kogunemispunktina.,0,1,"[0.34, 0.61, 0.05]"
"Eestisse saabus sel nädalal kokku 13 kvoodiimmigranti, neist 11 on pärit Süüriast ja kaks Eritreast.",1,1,"[0.03, 0.92, 0.05]"
"Siinkohal aga on juba ülioluline, et järgitaks Eesti julgeolekulisi huvisid – meil on juba parkimisplatsil palvetavad neegermoslemid, Süüriasse sõtta läinud islamiusku venelased ning kaugel siis ka esimesed pommivööd ole.",0,0,"[0.94, 0.04, 0.02]"
Kõrgklassi inimestel polnud sel ajal imugi kui kehvades tingimustes võivad sisserändajad elada.,1,1,"[0.35, 0.58, 0.07]"
"""On Eesti riigi väärikuse küsimus, et iga rassistlik solvang ja rünnak saaks täie põhjalikkusega uuritud ja ründajad seaduse täie rangusega karistatud.",2,2,"[0.07, 0.23, 0.7]"
"Süürlased elavad Eestis vaikselt oma elu, suuri jamasid pole olnud.",2,1,"[0.03, 0.62, 0.35]"
"Ursula von der Leyen ütles samuti, et Euroopa Liidu uued migratsioonireformid vahetavad välja nõndanimetatud Dublini menetluse, mis reguleerib asüülitaotlejate vastuvõtmist liikmesriikides.“Ma võin teatada, et me tühistame Dublini regulatsiooni ja asendame selle uue Euroopa migratsiooni juhtimissüsteemiga.",1,1,"[0.2, 0.66, 0.14]"
"EKRE poolt deklaratsioonile alla kirjutanud Jaak Madisoni sõnul räägivad Euroopa Liidu poliitikud pidevalt solidaarsusest ja võrdsusest, kuid seda tehakse tavaliselt siis, kui on vaja lükata vanade riikide probleemid uute kaela.„Deklaratsiooniga tahame ühiselt juhtida tähelepanu sellele, et Euroopa Liit tegeleb küll igapäevaselt rändekriisiga, kuid tähelepanuta on jäänud emigratsioon Kesk- ja Ida-Euroopa riikidest ning tööjõu väljavool meie regioonist,“ ütles Madison.",1,0,"[0.65, 0.25, 0.1]"
Välisriikide võitlus Islamiriigiga on pehmelt öeldes ebajärjepidev.,0,1,"[0.1, 0.84, 0.06]"
"Agaate Antson toob oma „faktikontrollis“ ära siseministeeriumi ametlikud andmed (mida 2018. aasta juulikuus mõistagi veel polnud): möödunud aastal tuli Eestisse ukrainlasi lühiajaliseks töötamiseks kokku 15 510, tähtajalise elamisloa saajaid oli ukrainlaste hulgas kokku 2565.",1,1,"[0.02, 0.87, 0.1]"
"Ministri tegutsemise ajal on edukalt lõpuni viidud üle saja lepituse, mis on omakorda andnud võimaluse naasta koju enam kui kahel miljonil süürlasel.",2,2,"[0.02, 0.15, 0.83]"
"Teinekord arvatakse, et sõnu otsiv afaasiaga inimene on hoopis välismaalane ja hakatakse temaga kõnelema mõnes muus keeles,” tutvustab ta sageli esinevaid vääritimõistmisi.",1,1,"[0.11, 0.76, 0.13]"
"Külastasin üht sellist keskust piirilõigul, kus migrantide surve on väga suur – aga see oli täiesti tühi!",1,1,"[0.29, 0.66, 0.05]"
"Erinevalt Rootsist, mis on andnud alalise elamisloa kõigile Süüria kodusõja eest põgenenutele, on Taani üritanud sisserändajate hulka ajutiste elamislubade, perede taasühinemise edasilükkamise ja asüülitaotlejate sotsiaaltoetuste vähendamisega piirata.",1,1,"[0.29, 0.51, 0.19]"
"Vaata Delfi TV kokkuvõtet!Tsahkna pagulastele: kätt, mis sind toetab, ei ole tark hammustada.",0,0,"[0.5, 0.33, 0.16]"
"Mehel, kes rammis Pariisis autoga politseibussi, oli kodus relvaladu ning tal oli relvaluba, vaatamata sellele, et ta oli salateenistuste radikaalse islamiga seotud inimeste nimekirjas, teatasid politsei allikad ja Prantsuse ametnikud teisipäeval.",1,1,"[0.05, 0.87, 0.08]"
"Jutt on 12. paragrahvist: „Rahvusliku, rassilise, usulise või poliitilise vihkamise, vägivalla ja diskrimineerimise õhutamine on seadusega keelatud ja karistatav.",1,1,"[0.17, 0.44, 0.39]"
"Pagulaste lõimimise projektidele eraldatakse 3,5 miljardit krooni (360 miljonit eurot), millest umbes kolmandik suunatakse riiklikule tööjõuagentuurile, et aidata uutel tulijatel töökohti leida.",2,2,"[0.01, 0.07, 0.92]"
Massimigratsioon muudab maailma.,1,0,"[0.64, 0.3, 0.06]"
"Sisserändest rääkides nimetab mees kahte peamist ohu allikat: kapseldumine omaenda rahvuskaaslaste keskele ja saabujate liiga suurt hulka, mis põliselanike arvu ületama hakkab.",0,1,"[0.38, 0.58, 0.04]"
"Eestis elavad välismaalased on muutunud eriti ülbeks – Florian Hartleb korraldab provokatsioone, väidetav poliitpõgenik Artemi Troitski valab EKRE-t sopaga üle, mis paneb arvama, et eks FSB andis talle kord hoo sisse, ning itaallane, Tallinna Ülikooli professor Daniele Monticelli õhutab eestlasi oma emakeelest lahti ütlema, kirjutades “eesti keelest eestluse püha keskme tegemine on minu arvates fetišeerimine.”“Kevades” nuhtlesid Palamuse koolipoisid sakslastest kalkunitolkaneid selle eest, et nood tulid võõra õue peale kaklema.",0,0,"[0.88, 0.08, 0.04]"
"Poolas hakkas kehtima seadus, millega vabastatakse enamik alla 26-aastastest töötajatest tulumaksust, et piirata noorte väljarännet teistesse Euroopa Liidu riikidesse.",1,0,"[0.46, 0.4, 0.14]"
"Kui inimesel on püsiv elukoht Soomes või Soome elamisluba, saab ta reisida Soome.",1,2,"[0.02, 0.23, 0.75]"
"Luuakse juba programme, mis aitavad pagulastel automaatselt varjupaika taotleda.",2,2,"[0.08, 0.22, 0.7]"
"Itaalias Macerata linnas toimus laupäeval massitulistamine, kus mees avas autost tule Aafrika päritolu migrantide pihta.",1,1,"[0.42, 0.52, 0.06]"
Aga kui siiski?Tegelikult olemas oleva multikultuurilisuse teravad probleemid on kuritegevus ja sisserändajatega seoses vastuvõtvale ühiskonnale langev majanduskoorem.,0,0,"[0.8, 0.17, 0.02]"
"Ja lõpetuseks Rõivase immigratsioonipoliitikast pagulaskriisi saabudes: “Nagu Jean-Claude Juncker ütles, ei ole olukord Euroopas hea.",1,0,"[0.62, 0.31, 0.07]"
"Samas olen nõus, et peame midagi tegema illegaalse immigratsiooniga.",1,0,"[0.85, 0.11, 0.03]"
Kutsuksin mõlemat poolt – nii pagulaste vastuvõtmise tervitajaid kui ka sellega hirmutajaid – mitte andma oma häält vaikijatele.,2,0,"[0.7, 0.17, 0.13]"
"Kui palju pagulasi ja kuhu, pealinn täpselt veel ei tea.",1,1,"[0.04, 0.89, 0.08]"
"Kui keegi räägib, et massiline sisseränne meid ei ohusta, tuleb mõelda, kas Leedus keegi uskus, et ühel päeval on neil üle 4000 asüülitaotleja riigi territooriumil.",0,0,"[0.58, 0.34, 0.08]"
"(Muidugi oli ka 9/11 “üksikjuhtum” – olgugi, et “maailm polnud pärast seda endine…”) Islamiäärmusluse väljajuurimise asemel muutub Euroopa vasakkallakuga liberaalne eliit hoopis ise äärmuslikuks.",0,0,"[0.93, 0.05, 0.02]"
Reedel toodi Itaaliasse umbes 1000 Vahemerel päästetud põgenikku.,2,1,"[0.01, 0.55, 0.44]"
"Schinas hakkab ühena mitmest asepresidendist tegelema hariduse, integratsiooni, rände ja piiriülese julgeolekuga.",1,2,"[0.02, 0.34, 0.65]"
"Juba sel nädalal võis Tallinnas näha suuri kottidega neegrite seltskondi, kes olid tõenäoliselt Eesti ülikoolidesse saabunud “tudengid”.Majandusmigrantide surve Eesti kõrg- ja kutseõppeasutustele politsei kinnitusel järjest kasvab, vahendas reedel ETV uudistesaade “Aktuaalne kaamera”.Euroakadeemia, kelle kolmandatest riikidest pärit välistudengid jättis politsei- ja piirivalveamet sügisel kooli ebausaldusväärsuse tõttu elamislubadest ilma, peab uuest õppeaastast kvaliteedinõuete mittetäitmise tõttu kinni panema ka ühe magistriõppe programmi.",0,0,"[0.78, 0.18, 0.03]"
Rockefeller oli oma eluajal üks aktiivsemaid globalistliku ideoloogia eestvedajaid kogu maailmas.,2,1,"[0.35, 0.51, 0.14]"
"Kui me koostööd ei tee, siis globalistid murravad meid ükshaaval maha.",0,0,"[0.87, 0.1, 0.04]"
Teises kohas kommenteeris Pär­tel soosivalt Delfis ilmunud Mart Helme artiklit („Tallinnas on plahvatuslikult kasvanud neegrite hulk.,0,0,"[0.81, 0.14, 0.05]"
"Eesti Konservatiivse Rahvaerakonna fraktsiooni liige Jaak Madison avaldab tunnustust, et võimuliit on viimaks tulnud välja ettepanekuga, mille EKRE esitas juba 2015. aasta lõpus.„Juba kaks aastat tagasi selgitasime, et välismaalane, kellele on vastu tuldud ja asüüli antud, peab kohaldama ennast kohaliku riigi seaduste ja käitumisnormidega.",1,2,"[0.23, 0.32, 0.45]"
"Kindlasti räägime ka sellest, kuidas Frontex (Euroopa piiri- ja rannikuvalve amet) saaks koostöös liikmesriikidega Itaaliat toetada ja aidata Itaalial praegust põgenikevoolu hallata.",2,2,"[0.01, 0.07, 0.92]"
Nimelt levitavad nad nii välismeedias kui kohapeal alusetuid hirmujutte ja häälestavad siia tulevad välismaalased juba ette konfliktilainele.,1,0,"[0.68, 0.27, 0.05]"
"""Piirivalve, politsei ja Poola armee kaitsevad meie piiri Lukašenka poolt inspireeritud ja tema poolt ettevalmistatud migrantide rünnaku eest,"" märkis Poola siseminister sotsiaalmeedias.",1,1,"[0.09, 0.52, 0.39]"
Seos majanduskasvu ning sisserände vahel on selgelt olemas.,1,1,"[0.03, 0.62, 0.36]"
"Helme lisas, et kodakondsuse ja sisserände poliitika peab jääma Euroopa Liidus rahvusriikide ainupädevusse.",1,0,"[0.42, 0.38, 0.21]"
"Järsk pagulaste juurdevool on ka kinnivaraturule mõju avaldanud, mistõttu peavad sõjapõgenikud ka uberike eest kõrget hinda maksma.",1,1,"[0.33, 0.6, 0.06]"
Anonymouse teatel on tegemist rassivägivallavastase vastupanu vormiga.,1,1,"[0.07, 0.83, 0.09]"
"Apellatsioonikohus otsustas nüüd, et naist ei koheldud õiglaselt, sest ta ei saanud Süüria põgenikelaagrist enda seisukohti esindada.",1,1,"[0.08, 0.66, 0.27]"
"Loogiliselt võttes ei peaks ükski laev Vahemerel päästma migrandialust, mis liigub omal jõul ega ole otseses uppumisohus – head Euroopasse seilamist!",0,2,"[0.11, 0.36, 0.53]"
See on Eesti vastus Euroopa Komisjoni ettepanekule võtta väljastpoolt Euroopa Liitu vastu 50 000 põgenikku.,1,2,"[0.06, 0.29, 0.65]"
"Liberaalid on vait, kui illegaalid ja muud immigrandid sooritavad oma võikaid, enamasti ka rassistlikest eelarvamustest kantud, isikuvastaseid kuritegusid.",0,0,"[0.9, 0.07, 0.03]"
"Kuigi sageli väidetakse, et see sõda pidavat takistama migratsiooni ja inimkaubandust, ajab konflikt pigem massid liikuma.",1,1,"[0.3, 0.62, 0.08]"
"Sisseränne aga läheb üha hullemaks, eriti odava tööjõu sissevedu Ukrainast, ja see on juba pikka aega EKRE tähelepanu all olnud ka Riigikogu töös, kus rahvuskonservatiivid püüavad takistada sisserände piirangute leevendamist välismaalaste seaduses.",0,0,"[0.81, 0.16, 0.03]"
"Hoolimata sellest, et piirikontroll oli taastatud, ei tekkinud Abdeslamil piiriületusel mingeid probleeme.",1,1,"[0.03, 0.73, 0.24]"
Komisjon võib tippkohtumisel siiski välja tulla ka teise ettepanekuga – säilitada status quo ning jagada põgenikud riikide vahel ümber kvootide alusel.,1,0,"[0.42, 0.42, 0.16]"
"Relvade kasutamisest pole Valgevene hoidunud ja piiri ääres filmitud videotest on näha, kuidas Valgevene piirivalvurid õhku või üle migrantide peade valanguid tulistavad, et neid mingis suunas liikuma õhutada.",0,1,"[0.38, 0.55, 0.07]"
"Prantsusmaal Nice’is kolme inimese tapmises kahtlustatav on 21-aastane Tuneesia päritolu migrant, kes jõudis Euroopasse mõne nädala eest, teatasid juurdlusega seotud allikad.",1,1,"[0.04, 0.9, 0.05]"
Tallinnas on küllaga moslemirättides naisi ja ohtralt neegreid – ainuüksi Nigeeriast pärit inimesi loendati mullu 608.,0,0,"[0.87, 0.11, 0.02]"
Mõju migrantidele on ühiskonnas silmnähtav.,1,1,"[0.24, 0.66, 0.1]"
"Tal oli ülikooli ajal üks kursusevend, kes emigreerus Saksamaale.",1,1,"[0.04, 0.88, 0.08]"
"Ühe inimese teada sõidavad Tallinnas ka neegertaksojuhid, kes valdavad vaid inglise keelt.",0,0,"[0.81, 0.15, 0.04]"
Aga vasakliberaale see ei huvita – nende eesmärk on migrantide abiga rahvusriigid hävitada ja luua enda kontrollitav rahvaste Paabel ohtrate pervesrssustega.,0,0,"[0.96, 0.03, 0.01]"
Samuti ei loo ränderaamistik uut rahvusvahelist õigust ega muuda kehtivat tavaõigust.,1,1,"[0.05, 0.69, 0.25]"
Kolmapäeval puhkesid kokkupõrked Lesbose ja Chiose saarele uute põgenikelaagrite ehitamise üle.,0,1,"[0.14, 0.78, 0.08]"
Tegemist on islamiseerimise ja massiimmigratsiooni vastase ning põhiväärtuste toetuseks suunatud aktsiooniga.,0,0,"[0.82, 0.14, 0.04]"
"Põgenikud peavad otsima emigreerumiseks seaduslikke teid, mis ei ole kuritegevuse kontrolli all.",1,1,"[0.07, 0.78, 0.15]"
Tema arvates jääme ilma lihttööd rabavate võõrtöölisteta suisa jänni.,2,1,"[0.38, 0.4, 0.22]"
"“Kõige raskem oli neil, kellel oli ainult üks sort,” hindas ta seisu.“Probleem sai alguse mitu aastat tagasi, kui maasikakasvatajad, kes said kasutada Ukraina hooajatööliste abi, oma pindasid suurendasid – nemad jäid nüüd hätta,” selgitas Moor.",2,2,"[0.03, 0.46, 0.51]"
"ÜRO pagulasameti sõnul jõudis eelmisel aastal Kreeka saartele umbes 60 000 migranti, varasema aastaga võrreldes oli see arv kasvanud peaaegu kaks korda.",1,1,"[0.02, 0.89, 0.09]"
"„Idaeurooplaste vastu suunatud rünnakute kasvus pole midagi üllatavat, sest neid on korduvalt kujutatud parasiitide, sulide ja ohuallikatena,” märkis rassismiuurija Jon Burnett ajalehele Guardian.",1,0,"[0.5, 0.42, 0.08]"
Seitse esimest põgenikku saabusid märtsi ja järgmised kaksteist aprill lõpus Kreekast.,1,1,"[0.02, 0.91, 0.08]"
"Meestelt võetud selgituste kohaselt oli nende Eestisse tulemise eesmärk jõuda Rootsi, Soome või Norrasse ning nad esitasid paar päeva pärast Eestisse jõudmist varjupaigataotluse, kuid saades aru, et see tähendab Eestisse jäämist, võtsid avaldused tagasi.",1,1,"[0.04, 0.89, 0.07]"
"„Tegemist on sisuliselt jälitustegevust harrastavate vasakäärmuslike tegelastega, keda võib ju samuti rassistideks nimetada – nendeks, kes jälitavad meid, kes me Eestis ja Euroopat oma koduks peame, kuhu iga võõras ei ole teretulnud,“ ütles Erm.",0,0,"[0.86, 0.11, 0.04]"
"Peame endalt küsima, kas Tallinnas elavad noored naised on valmis selleks, et meie pealinna tekivad immigrantide tõttu vägistamisohtlikud getod?",0,0,"[0.93, 0.05, 0.02]"
"See tähendas, et ka mitu põlvkonda Soomes elanud juudi perekonnad ei tohtinud omada maad, ei tohtinud omada muud kinnisvara, nende firmad olid muude variisikute nimel ja nad pidid iga poole aasta järel oma elamisluba pikendama.",0,1,"[0.3, 0.62, 0.08]"
"Hispaania kõrgliiga kohtumine Cadizi ja Valencia vahel jäi avapoolajal ajutiselt pooleli pärast väidetavat rassismijuhtumit, mille järel otsustas Valencia klubi protestiks väljakult lahkuda.",1,1,"[0.2, 0.72, 0.08]"
"Tähendab, et Wolt propageeribki võõrtööjõudu, kes kohalikku keelt ei mõista.",0,0,"[0.84, 0.11, 0.05]"
"""ELi liikmesriigid peavad pagulaste aitamisse pagulaslaagrites oluliselt rohkem panustama ja toetama ÜRO Pagulaste ametit, et inimestel oleks esmatarvilik pagulaslaagrites olemas,"" ütles ta.",2,2,"[0.01, 0.07, 0.92]"
"Ta oli kuu jooksul juba teine lapsmigrant, kes USA kinnipidamisasutuses suri.",0,1,"[0.06, 0.86, 0.08]"
Nüüd välja lööva rassismi juured on Creutzi sõnul sügavad ja on kinni Euroopa ajaloos.,0,1,"[0.22, 0.68, 0.1]"
"Vormel 1 korraldas enne pühapäevast Briti GP sõitu demonstratsiooni, mille käigus mõistsid kõik 20 sõitjat rassismi hukka.",2,1,"[0.3, 0.43, 0.27]"
"Saksamaa algatatud plaani eesmärk on suurendada tagasisaatmisi muu hulgas tehes viisapiiranguid riikidele, mis keelduvad oma kodanikke tagasi võtmast, ja toetades välisriike rände piiramisel enne, kui inimesed Euroopasse jõuavad, vahendab Reuters.",0,2,"[0.18, 0.38, 0.43]"
"Hetkel suhtleb Eesti välisministeerium Afganistani erilende korraldavate Euroopa Liidu liikmesriikidega, et Eesti elamisluba omavad isikud evakuatsioonilendudele pääseksid.",2,1,"[0.02, 0.56, 0.42]"
"Migrandid ootasid kolm päeva, enne kui abi nendeni jõudis.",1,1,"[0.08, 0.84, 0.08]"
"Kirja eesmärk oli panna kogu ühiskond üksmeelselt arvama, et Eesti riigil ilma Ukraina võõrtöölisteta pole tulevikku.",2,0,"[0.83, 0.11, 0.05]"
"Jätkem eesti keele elujõu ülistamise president Kaljulaidile, kes tahab meie keelt elus hoida koos aafriklaste, venelaste ja ei tea kellega veel – meil on muresid tematagi.",0,0,"[0.94, 0.03, 0.02]"
"Sest põgenikud on tulemas – ja mitte ainult Ukrainast, vaid ka Süüriast, ning peagi koputavad meie koolide ustele lapsed, kes valdavad üksnes araabia keelt.",1,0,"[0.57, 0.38, 0.05]"
"Tema sõnul ei lahenda rändekava põgenikega seotud probleeme, vaid annab hoopis hoogu inimkaubandusele.",0,0,"[0.71, 0.25, 0.04]"
"Koos migrantidega tulevad siia ka nende kodumaa vastuolud, ideoloogiad, kombed ja konfliktid.",1,1,"[0.43, 0.5, 0.07]"
"Analoogne jutt mõnel pagulasvastasel lehel tähendaks kohe kaebust ja konto sulgemist!Ilmselt oleks olend Pärnits ise kohe tagajalgadel püsti, kui keegi temasuguse hukusoovi avalikult kuulutaks.",0,0,"[0.81, 0.13, 0.06]"
"Taoliste neegrikampaaniatega saavutatakse ainult seda, et rassiküsimus, mis pole kunagi Eestis probleemiks olnud, aetakse kunstlikult teravaks, inimesi sunnitakse pooli valima ja barrikaadidele ronima ning ühiskond jagunebki kahte leeri – veel üks lõhestatus juures.",0,0,"[0.94, 0.04, 0.02]"
"Siit selgubki, miks konkreetne ukrainlane Eesti poliitikasse ei sobi – ta näeb asju isegi mitte võõra, vaid “lõimunu” pilguga või õigemini, multikultipilguga.",0,0,"[0.91, 0.06, 0.03]"
"Konservatiivse Rahvaerakonna noorteliikumine Sinine Äratus teatas pressiteates, et mõistab karmilt hukka täna öösel aset leidnud Vao pagulaskeskuse süütamise.",2,1,"[0.25, 0.44, 0.31]"
"Demokraatia ei tähenda ainult globalismi ja multikultuursuse heakskiitu, kui väga riigipea seda ka ei tahaks.",1,0,"[0.9, 0.07, 0.03]"
"Sellel aastal kasvab välismaalastest lühiajaliste töötajate arv politsei- ja piirivalveameti (PPA) hinnangul tõenäoliselt ligi 30 000 töötajani, mida on umbes poole võrra enam kui mullu.",1,1,"[0.02, 0.79, 0.2]"
"Immigratsioon on kasuks tulnud ainult mõnede Aasia väikeriikide (Araabia Ühendemiraadid, Katar, Singapur) keskmisele IQle, nähtub PISA testide põhjal koostatud uuringust, mille on avaldanud The Unz Review.",0,1,"[0.03, 0.69, 0.29]"
"Edastamaks teavet Tallinna kesklinna elama asunud välismaalastele, on Kesklinna Sõnumite homme ilmuvas augustinumbris üks lehekülg esmakordselt inglise keeles, vahendab BNS.„Statistika järgi üha suureneb meie linnaosas nende elanike osakaal, kes kasutavad asjaajamiseks inglise keelt.",2,1,"[0.03, 0.55, 0.42]"
"Me oleksime valmis neile ju andestama, sest meil on veel võimalik otsusekindla poliitikaga massimmigratsiooni- ja muid ohte tõrjuda, kuid kui vigu ei tunnistata, on see väga raske.",0,0,"[0.46, 0.21, 0.33]"
MTÜ Mondo avaldust afgaanide asüüli taotlemise asjus on valitsusel plaan arutada neljapäeval.,1,1,"[0.02, 0.61, 0.37]"
"Rändekriisist rääkides toonitas Mikser, et Eesti teeb omalt poolt kõik, et riiki saabunud varjupaigataotlejad ka edukalt ühiskonda integreerida.",2,2,"[0.02, 0.08, 0.9]"
"Eesti valitsuse kava lahendada meie majandusprobleeme võõrtööjõuga toob kõigepealt kaasa madalamad palgad, kuid viib lõpuks põlisrahva väljasuremiseni, kirjutab EKRE aseesimees Henn Põlluaas.",0,0,"[0.91, 0.07, 0.02]"
"Mees ise ütles, et kuigi ta ei tundnud 18-aastast Nigeeria pagulase poolt mõrvatud Itaalia neidu isiklikult, siis kuuldes raadiost, et jõhkras mõrvas süüdistatuna on vahistatud nigeerlane, otsustas ta tüdruku tapmise eest immigrantidele kätte maksta ning teha midagi massilise sisserände vastu.",0,0,"[0.64, 0.29, 0.07]"
Migrantide õigustega tegeleva grupi La Chapelle Debout aktivistide sõnul sisenes hoonesse reede pärastlõunal 700 migranti ja nende toetajat.,2,1,"[0.07, 0.78, 0.15]"
