sentence,stanceConsolidated,stanceNotConsolidated,coderConsolidated,coderNotConsolidated,publishDate,title,publisherGroup,publisher,category,keywordGroups,keywords,author
"Miks välismaised jahimehed meile kipuvad?Meile satub jahituriste tõesti rohkem kui mujale, see tuleb atraktiivsest asukohast – asume suurte rändeteede keskpunktis.",MH,MH,A,J,06.12.2017 22:00,"Jahimehed: me ei suuda enam ühiskonnale seletada, et elu ja surm käivad looduses koos",EkspressGrupp,Maaleht,,['ränne'],['rände'],
"Bio­robotid, ahvide järeltulijad või võimas tulnukate rass?” Raamatu peatükid käsitlevad USA katseid maailma killustada, Stalini teenimatult halba renomeed ja muret tekitavat suundumust naiste domineeritud maailma poole.„Viimase aja teaduslikud uuringud on näidanud, et naised suudavad varsti järglaste saamiseks võtta üle meeste rolli.",MH,MH,A,J,18.08.2015 21:30,„Hitler oli Briti ja USA käsilane.” Imejutte Moskva raamatupoest,EkspressGrupp,Eesti Päevaleht,,['rass'],['([\\W ]|^)rass'],
"Seotud lood:Siseministeeriumi ametnik: “Me töötamegi selle nimel, et sisseränne suureneks.”Naist põlema panna tahtnud Süüria pagulane jääb esialgu veel vahi allaUrmas Espenberg: meid valmistatakse ette immigrantide senisest suuremaks vastuvõtuksEestisse asus mullu elama üle 8000 välismaalaseFOTO: AFP/Scanpix – (illustratiivne) naisepeks �ariaadikohtus",5,MH,A,J,08.03.2017 19:30,Urmas Espenberg: kas tüüpilised lääne immigrandijamad on jõudnud lõpuks Eestisse?,UuedUudised,UuedUudised,Arvamus,"['ränne', 'pagulased', 'välistööjõud']","['migra', 'ränne', 'pagula', 'välismaala']",
"Kurz oli eelmises valitsuses ministrina vastutav ka integratsiooni eest ning tema eestvedamisel võeti 2015. aastal vastu nn seadus islami kohta, millega keelati usugruppide välismaalt rahastamine ja millega kohustati moslemikogukondi omama “fundamentaalset positiivset hoiakut Austria riigi ja ühiskonna suhtes”.Türgi presidendi pressiesindaja kritiseeris reedel Austria otsust saata välja Türgi rahastatud imaame ja sulgeda mitu mo�eed, nimetades seda “islamivastaseks” ja “rassistlikuks” sammuks.8,8 miljoni elanikuga Austrias elab umbes 600 000 moslemit, kellest suurem osa on vähemal või rohkemal määral Türgi juurtega.",MH,2,A,J,08.06.2018 08:49,Rekonkista on alanud: Austria sulgeb seitse mo�eed ja saadab riigist välja kümneid imaame,UuedUudised,UuedUudised,Maailm,"['rass', 'rahvus']","['([\\W ]|^)rass', 'moslem', 'islam']",
Euroopa Parlamendis küpseb kava kehtestada liikmesriikidele kohustuslikud kvoodid pagulaste vastuvõtmiseks.“Madisoni sõnul ei tohi lubada Eesti valitsusel Brüsseli jõupoliitikaga kaasa minna.,3,2,A,J,20.10.2017 12:15,Jaak Madison: Eesti valitsus ei tohi Brüsseli rändepoliitikaga nõustuda,UuedUudised,UuedUudised,Eesti,['pagulased'],['pagula'],
"“Sisseränne ida suunalt on muutunud massiliseks ja kontrollimatuks ning sellepärast tuleb see probleem võtta teravdatud tähelepanu alla.”Sisserände töörühm alustas tegevust 2017. aasta suvel, kui selle eesmärgiks seati valdkonna huvitatud osapooled kokku tuua ning valitsusele sisserände osas nõu anda.",3,2,A,J,14.06.2019 07:39,"Siseminister Mart Helme: sisserände töörühm kujunes tööandjate lobigrupiks, kelle ainsaks eesmärgiks oli piirangud maha võtta",UuedUudised,UuedUudised,Eesti,['ränne'],"['ränne', 'rände']",
"Eesti Konservatiivse Rahvaerakonna fraktsiooni juht Martin Helme seob Brüsseli teisipäevased pommiplahvatused migratsioonipoliitikaga ning kinnitab selle valguses, et Eesti kvoot pagulaste vastuvõtmise osas peab olema null.“Brüsseli lennujaamas toimub tulistamine ja plahvatused, tegelased hüüavad allah akbar, aga progressiivsed sallivuslased teavad, et sellel pole mingit pistmist islamiga ja ammugi pole sel mingit pistmist immigratsiooniga!",1,MH,A,N,22.03.2016 08:54,Martin Helme veristest terrorirünnakutest Brüsselis: Eesti kvoot on null!,UuedUudised,UuedUudised,Maailm,"['ränne', 'pagulased', 'rahvus']","['migra', 'pagula', 'islam']",
"Tema sõnul ei reageeri uus valitsus kodanike murele kontrollimatu sisserände pärast, Oulu vägistamised aga näitavad, et EL tervikuna ei suuda tagada oma kodanike turvalisust.“Soome valitsus ei ela tegelikkuses, vaid multikultuurilisuse utoopias,” ütles Huhtasaari oma kõnes Strasbourgis.",2,2,A,N,18.07.2019 08:19,Soome eurosaadik Laura Huhtasaari: Vahemerel tegutsevad vabaühendused on inimkaubitsejate partnerid,UuedUudised,UuedUudised,Maailm,"['ränne', 'paremäärmus']","['rände', 'multikult']",
"Soome sotsiaalmeedias on rassism ja solvangud muutunud igapäevaseks, kuid seesugune kõnepruuk on hakanud ilmuma ka poliitilisse diskussiooni, hoiatas Euroopa Nõukogu teisipäeval.“Avalikus diskursuses tõstab pead rassistlik ja sallimatu vaenukõne; peamisteks sihtmärkideks on asüülitatolejad ja moslemid,” öeldakse Euroopa Nõukogu rassismi- ja sallimatuse vastase komisjoni (ECRI) raportis.",3,2,A,N,10.09.2019 11:52,Euroopa Nõukogu ründab Põlissoomlasi: Soomes tõstvat pead rassism ja sallimatus,UuedUudised,UuedUudised,Maailm,"['pagulased', 'rass', 'rahvus']","['asüül', '([\\W ]|^)rass', 'moslem']",
"Uued Uudised vahendavad mõningaid sõnumeid meediaagentuurilt BNS, mis lubavad oletada, et rändekriis jätkub ning Macron, Merkel ja Juncker tahavad sellel vaid rohkem silma peal hoida, ÜRO ja igasugused pagulas- ning inimõigusorganisatsioonid aga laseksid põgenikel igasuguste piiranguteta ringi tormata.“Euroopa Liit kaalub blokis asüüli tahtvate migrantide menetlemiseks maaleminekuplatvormide loomist, selgus teisipäeval uudisteagentuuri AFP kätte jõudnud eelseisva Euroopa Ülemkogu otsuse visandist.",2,MH,A,N,20.06.2018 08:18,Hoiatav tõdemus: globalistlik maailm ei kavatsegi Euroopat migranditulvast päästa,UuedUudised,UuedUudised,Maailm,"['ränne', 'pagulased']","['migra', 'rände', 'pagula', 'asüül', 'põgenik']",
"Paraku leiab praeguse valitsuse poliitikast rohkesti näiteid, mis hoopis teise suunda viitavad.„Tasuta juriidilist abi asüülitaotlejatele laiendatakse, mis hoogustab edasikaebuste tootmist ja pikendab menetlemise aegu.",3,MH,A,N,03.05.2020 05:59,Soome probleemid: väikeparteide liiga suur mõju ning ministrite ja ametnike vastutamatus,UuedUudised,UuedUudised,Maailm,['pagulased'],['asüül'],
"„See, et inimesed Lesbosel elavad isetehtud telkides vihma ja külma käes, ei ole Euroopa Liidu vääriline.“Saksamaa võimud on arutanud migrantide Kreekast ära toomist detsembrist saadiks.",4,MH,A,N,03.04.2020 12:34,Vasakpoolsed tahavad pandeemiast hoolimata Kreeka laagrite migrandid Saksamaa hotellidesse paigutada,UuedUudised,UuedUudised,Maailm,['ränne'],['migra'],
Kuidas see kahenäoline poliitika koha pealt paistab?namik süürlasi on pettunud.,MH,MH,A,N,06.01.2015 01:30,Süüria põgenikelaagri juht: kuu aja pärast algab siin nälg,EkspressGrupp,Eesti Päevaleht,,['rahvus'],['süürla'],
"Eesti Päevaleht kirjutas rahvusriikide vaenaja George Sorosi arvamusest, et rahvuslus olevat suurimaks ohuks avatud ühiskonnale (mis on avatud näiteks islamistidele).Prantsuse president Emmanuel Macron võrdles aasta eest Euroopas pead tõstvaid “natsionalistlikke” ja migratsioonivastaseid meeleolusid pidalitõvega ning kordas seda juttu sel nädala taas üle.",4,3,A,N,14.11.2019 11:51,"Lääne vasakliberaalide Sorose, Macroni ja teiste nendesuguste pime raev rahvusluse vastu viib maailma suurte konfliktideni",UuedUudised,UuedUudised,Maailm,"['ränne', 'rahvus']","['migra', 'islam']",
"Post viitab ECRI (European Commission against Racism and Intolerance) aruandele, mille kohaselt “ksenofoobsete ja rassistlike intsidentide arv Rootsis on viimastel aastatel kasvanud, eriti pärast suure hulga sisserändajate saabumist”.“Feministide ja inimõiguste aktivistina ei saa ma nõustuda, et meie ühiskonnas kasvab rassiline ja ksenofoobne propaganda.",5,MH,A,N,18.04.2018 06:49,Rootsi äärmusfeminist soovib keelustada sisserännet kritiseerivad organisatsioonid,UuedUudised,UuedUudised,Maailm,"['ränne', 'paremäärmus', 'rass']","['rända', 'ksenofoob', '([\\W ]|^)rass']",
"Kuku raadio saates “Keskpäevatund” väitsid “kolm Idamaa tarka”, et EKRE löövat võõrtööjõu manamisega endale kirve jalga.“EKRE juhtide seisukoht põllumeeste võõrtööjõu vajaduse tühiseks pidamise kohta tekitab meelega lõhet nende enda valijaskonnas,” ütles Priit Hõbemägi, tunnistades samas, et tal tegelikult pole kindlat teadmist, mida täpselt minister Mart Helme põllumeestega tülli minnes ütles, sest tegu oli ajakirjanduses vahendatud teabega.",2,MH,A,N,12.04.2020 04:44,Ajakirjanikud näitasid nädalavahetuse jututubades taas oma ebaprofessionaalsust,UuedUudised,UuedUudised,Arvamus,['välistööjõud'],['võõrtöö'],
"Kui koostöö toob siia kasvõi kümme tuhat neegrit ja araablast, saab Eesti riiki vähem olema nii oma inimeste turvalisuse tagamises kui ka majanduslikus sõltumatuses ja heaolus, eriti aga eestluse osas – kas Teise maailmasõja järel siia toodud 300 000 muulast on meid kuidagi tugevamaks teinud, riiki sidusamaks muutnud ja eestlust tugevdanud (Ida-Virumaa näide)?Kartellipoliitikud ei tungi kunagi protsesside sisusse, vaid piirduvad pealispinnaga, sidudes iga asja inimlike aspektidega – ainult et nende inimlikkus piirdub võõraste ja kaugete teemade, mitte oma rahvaga.",2,2,A,N,16.11.2018 12:49,"rändelepe on kasulik just Kremlile, sest see veab Euroopa vastuolusid täis!",UuedUudised,UuedUudised,Eesti,"['mittekodanikud', 'rass', 'rahvus']","['muula', '([\\W ]|^)neeg', 'araabla']",
"Kuid kas tegime ka mõne otsuse, mis meile kampaaniaperioodil kahjulik oli?Kampaaniat juhtinud ja aastail 2010–2015 Eesti ÜRO suursaadikuks olnud Margus Kolga: ­Potentsiaali häältekaoks oli seoses rändeleppe ja Jeruusalemma resolutsiooniga (viimasega taunis ÜRO Jeruusalemma Iisraeli pealinnaks kuulutamist – K. K.), aga ma ei hinda, et nii, nagu me selle välja mängisime, oleks me midagi kaotanud.",MH,MH,A,N,11.06.2019 21:30,„Pinge päris lõpus oli ikka hullumeelne!“,EkspressGrupp,Eesti Ekspress,,['ränne'],['rände'],
"!Miks teatud klienditeenindusel tarbijatele koheldakse teenindus ja müügitöötajaid ebavõrdselt on paraku ebaselge (võib oletada, et tegelik põhjus ebavõrdseks kohtlemiseks peitub ametniku enese arguses ja puudulikus haldussuutlikkuses, sest on ju üldteada, et enamus nendest kulleritest on mustanahalised, kes võivad ametnikku keelenõuete kontrollimise eest otsekohe ametnikku süüdistada rassismis).Samuti leiab Keeleinspektsioon, /…/ Paraku on paljud Teid huvitavad töötajad nn renditöötajad, kelle tööandja ei ole ettevõte, milles ta töötab, vaid tööjõu rendifirma.",MH,MH,A,N,29.06.2020 09:45,Andres Raid: Kas toidukulleritele keelenõue ei kehti?,UuedUudised,UuedUudised,Arvamus,['rass'],"['mustanahali', '([\\W ]|^)rass']",
"“Fikseeritud reeglid ja selge rahastamine on vajalikud, et administratsioonis töötaks rohkem rändetaustaga inimesi.”Seaduseelnõu kohaselt tuleb kehtestada nn pehme kvoot, mis põhineb sisserändajate osakaalul berliinlaste koguarvus – see on tänapäeval 35 protsenti.",3,3,A,N,17.01.2021 07:07,Berliin hakkab sisserändajatele võimu üle andma,UuedUudised,UuedUudised,Maailm,['ränne'],"['rände', 'rända']",
"Kas see inimkaubandus ja äritsemine on teie meelest eetiline?”Peaminister soovitas müügitehingu kõrval vaadata ka altruismi momenti ning lõpetas arutlelu väitega, et asendusemadus on “pereeluline, see on meditsiiniküsimus, see on õigusküsimus, aga kindlasti ka eetiline küsimus”.",MH,MH,A,N,10.10.2018 12:55,Peaminister Jüri Ratas ei soovi ebaseadusliku surrogaatemaduse suhtes selget seisukohta võtta,UuedUudised,UuedUudised,Eesti,['pagulased'],['inimkaub'],
"Võtame kasvõi selle fakti, et 20% Rootsi naisi on vägistatud... Kõik sellised faktid on reaalsus"".Õhtulehe 15.8 artikkel „Pagulaste rünnaku all: rahvatantsijad põgenesid ööbimiskohast ummisjalu!” osundab eesti rahvatantsijaid, kes osalesid Helsingborgis Europeade 2015 rahvatantsufestivalil.",MH,MH,A,N,20.08.2015 21:30,Kuidas sünnivad müüdid ja kuidas neid purustada?,EkspressGrupp,Eesti Päevaleht,,['pagulased'],['pagula'],
"Kes on vabastatud sisserände piirarvust?Euroopa Liidu liikmesriigi kodanikud;USA, Ühendkuningriigi, Jaapani, �veitsi, Norra, Islandi ja Liechtensteini kodanikud;välismaalased, kes kolivad abikaasa ja/või lähedase sugulase juurde;välismaalased, kes õpivad või teevad teadustööd Eestis;välismaalased, kellele antakse tähtajaline elamisluba püsivalt Eestisse elama asumiseks;välismaalased, kellele antakse elamisluba töötamiseks info- ja kommunikatsioonitehnoloogia erialasel ametikohal;välismaalased, kellele antakse elamisluba töötamiseks iduettevõttes;välismaalased, kes töötavad Eestis õppejõuna;välismaalased, kellele antakse tähtajaline elamisluba ettevõtluseks suurinvestorina või seoses iduettevõtlusega;välismaalased, kellele antakse tähtajaline elamisluba töötamiseks tippspetsialistina ehk kellele tööandja maksab vähemalt Eesti kahekordset keskmist töötasu;rahvusvahelise kaitse saajad.",MH,MH,A,N,04.11.2021 12:35,Koda saatis ministeeriumile arvamuse seoses sisserände piirarvuga. Nende sõnul on probleem väga tõsine,EkspressGrupp,Ärileht,,"['ränne', 'välistööjõud', 'mittekodanikud']","['rände', 'välismaala', 'elamisluba']",Tanel Saarmann
"Valitsuse sisserännupoliitika pole tark (Eesti Ekspress 15.07.2015)""Hiljutine otsus, et Eesti võtab vastu umbes 200 pagulast, on väga halb otsus.",1,2,A,N,26.07.2015 04:50,Siim Kallase murede TOP 5: endisest eurovolinikust on viimasel ajal saanud agar kritiseerija,EkspressGrupp,Delfi,,['pagulased'],['pagula'],
").“Afropatside tõttu rassismis süüdistatud Liisa Leetma: olin rumal ja mõtlematu”.“Näosaates osalenud Hanna Martinson: mul on äärmiselt piinlik”.“Näosaates blackface’i teinud Elina Born: ma ei osanud näha, et see võib teha kellelegi haiget”.On ka mõistuse säilitanuid: Paul Neitsov: mina mustade parodeerimises rassismi ei näe.",MH,MH,A,N,06.06.2020 17:16,Enesepiitsutamine kogub hoogu: kas tõesti on tegu kollektiivse hullumeelsusega?,UuedUudised,UuedUudised,Eesti,['rass'],['([\\W ]|^)rass'],
"Türgi on ähvardanud, et kui Euroopa neile raha ei maksa, siis teevad nad 3,5 miljonile Türgis olevale Süüria põgenikule Euroopa suunal oma piirid lahti,“ märkis Madison.„Tegelikult peaks Türgi aitama riigis paiknevatel süürlastel koju tagasi pöörduda.",MH,MH,A,N,04.05.2018 11:32,Jaak Madison: võimuliit kingib kuni 2 miljonit eurot Eesti maksumaksja raha Türgile,UuedUudised,UuedUudised,Eesti,"['pagulased', 'rahvus']","['põgenik', 'süürla']",
"Ühtlasi on see täielik kontrast Nord Streami peatanud ning sellega seotud ettevõtted ning isikud sanktsioneerinud Trumpi väga tugevale Venemaa vastasele reaalsele tegutsemisele (sh Ukraina relvastamisele).Samuti ei lähe toimuv aga kokku võltsuudiste meedia ja globalistlik-progressiivse ajakirjanduse propagandanarratiiviga Putini poolt ära ostetud Trumpist ja suurest Kremli-vastasest Bidenist, mistõttu pole ka ideoloogilis-propagandistliku meedia esiuudistes üldjuhtumil toimuv eriti esil.",MH,MH,A,N,21.07.2021 15:10,"Nord Stream 2 tõestab, et Lääs hakkab majanduskasu silmas pidades liitlasi reetma",UuedUudised,UuedUudised,Arvamus,['paremäärmus'],['globalist'],
"Hoolimata sellest, et vaene ja kesise kliimaga Eesti pole asüülitaotlejate sihtmaa.apsik oleks uskuda, et pärast esimese tuhande pagulase vastuvõtmist jäetakse meid rahule.",MH,MH,A,N,24.06.2015 20:30,Pagulaste vastuvõtt ei saa olla Eesti jaoks kohustus,EkspressGrupp,Eesti Päevaleht,,['pagulased'],"['pagula', 'asüül']",
"Nüüd nõuab sedasama samal proletaarsel moel Euroopa kõrgharitud tehnokraat – see on totalitarismi tohutu võit!Pole vist mõtet heietadagi, et täiesti ühepoolsete antidemokraatlike sammudega suunab Euroopa iseennast verise kodusõja suunas, mis lähtub ennekõike kogu maailma migratsiooni suunamisest Euroopasse.",2,MH,A,N,29.03.2019 07:20,liberaalse demokraatia kindel hukk,UuedUudised,UuedUudised,Arvamus,['ränne'],['migra'],
"Rahvusriikide piirid toimivad nagu veekindlad vaheseinad, mis loovad turvalisust.“Ta meenutas, et just enne kriisi nägime dramaatilisi kaadreid Türgi-Kreeka piirilt, kus Türgi abistas Kreeka piirirajatisi ründavaid immigrante, ja need ikoonilised pildid tuletavad meelde, et sisepiiride puudumisel võib pagulaskriis ühes Euroopa julgeolekut tugevalt kõigutavate tagajärgedega taas korduda.",MH,MH,A,N,19.05.2020 12:49,"Anti Poolamets välispoliitikast: “Põlisrahvaste õiguste kaitse ei tohiks jääda paberile, vaid peame hoidma valgusvihus rõhutud väikerahvaste saatust”",UuedUudised,UuedUudised,Eesti,"['ränne', 'pagulased']","['migra', 'pagula']",
"Käesoleva migratsioonikriisi korraldasid Euroopa poliitikud ja liberaalne kultuurieliit; hr Orbįnil õnnestus nädalatega täiesti peatada pagulastelaine Ungarisse, näidates, kui palju võib saavutada illiberaalse poliitilise juhi otsustavus.",1,2,A,J,16.11.2015 12:26,John Morgan: 6 võimalust Pariisi rünnakutele vastata,UuedUudised,UuedUudised,Arvamus,"['ränne', 'pagulased']","['migra', 'pagula']",
"Praegu aga tundub, et Ratase valitsus on ennast globalist Macroni taha haakinud ja osaleb ettevõtmistes, mis teevad meile endile tohutult halba – kui Sahelist hakkavad siia miljonid neegrid tormama.",1,1,A,J,01.12.2018 17:54,kas me aitame tuareegide genotsiidile kaasa?,UuedUudised,UuedUudised,Maailm,"['paremäärmus', 'rass']","['globalist', '([\\W ]|^)neeg']",
"Enamik aafriklasi arvab, et valged elavad millestki, mis neile lihtsalt pähe kukub – ei, nad töötavad ja saavad jõukaks, mustad aga ei muutu töökamaks ka siis, kui ÜRO Aafrika riikidele arenguabi annab või nad migrantidena Euroopas sotsiaaltoetusi saama hakkavad.",1,MH,A,J,24.08.2018 18:11,Heelia Sillamaa sotsialistlik lahendus Lõuna-Aafrikale tähendab osaliselt õnnetu maa asemel täielikult õnnetut,UuedUudised,UuedUudised,Arvamus,"['ränne', 'rahvus']","['migra', 'aafrikla']",
"Kui lähete valima, tehke kindlaks, et teie valitaval erakonnal oleks selge ja aus plaan immigratsiooni peatamiseks.",1,2,A,J,21.10.2015 00:23,"4 viisi, kuidas eurooplased saavad sissetungi peatada",UuedUudised,UuedUudised,Maailm,['ränne'],['migra'],
"""Vasakpoolsed poliitikad on toonud kaasa illegaalsete immigrantide valgumise Euroopasse, ähvardades Euroopa riike ennenägematute sotsiaalsete, majanduslike, kultuuriliste ja julgeolekukonfliktidega,"" ütles Ungari peaminister Viktor Orban.",1,2,A,J,20.08.2015 06:53,"Slovakkia võtab pagulasi vastu, aga vaid kristlasi",EkspressGrupp,Delfi,,"['ränne', 'pagulased']","['migra', 'illegaal']",
"Inimesed toetavad EKRE-t teadlikult, globalistpoliitikud aga soovivad “ullikesi”, kes olla Helmede mõju all, “õigele teele suunata” – nende silmis toetab “õige rahvuskonservatiiv” Helmedeta globalismi ja multikultuursust.",2,MH,A,J,02.08.2020 14:58,Diplomaadi maailmavaade on rahvuskonservatiivide osalusega valitsuse poliitika järgimiseks liiga vasakpoolne,UuedUudised,UuedUudised,Eesti,['paremäärmus'],"['globalist', 'globalism', 'multikult']",
"Algselt vägivaldne meeleavalduste laine sai alguse pärast seda, kui 22-aastase iraaklasest ja 23-aastase süürlasest asüülitaotleja poolt pussitati Chemnitzi tänaval surnuks 35-aastane sakslane Daniel Hilligi.",2,3,A,J,31.08.2018 05:45,Aktsioonid immigratsiooni vastu pärast linlase surma Chemnitzis ei vaibu,EkspressGrupp,Delfi,,"['pagulased', 'rahvus']","['asüül', 'süürla', 'iraakla']",
"Eesti Konservatiivne Rahvaerakond korraldab täna algusega kell 9.30 Stenbocki maja ees piketi ÜRO rändeleppega ühinemise vastu, teatas partei esimees Mart Helme Defile.",2,3,A,J,15.11.2018 05:11,EKRE korraldab täna hommikul Stenbocki maja ees meeleavalduse ÜRO rändeleppe vastu,EkspressGrupp,Delfi,,['ränne'],['rände'],
"Sisserändest rääkides nimetab mees kahte peamist ohu allikat: kapseldumine omaenda rahvuskaaslaste keskele ja saabujate liiga suurt hulka, mis põliselanike arvu ületama hakkab.",2,2,A,J,06.03.2018 19:22,"""Maksud Lätti"" peakorraldaja: väga hea pilguga ma padujoomarlust ei vaata, ent riigi alkoholipoliitikat pean läbikukkunuks",EkspressGrupp,Delfi,,['ränne'],['rände'],
"Ka siinseid pagulasi taheti algul igati aidata, aga see soov kahanes korrelatsioonis selle tänutunde puudumisega, mida migrandid osutasid.",2,3,A,J,05.03.2020 18:00,"EKSKLUSIIV OTSE KREEKAST: Samosel loomekodu pidav eestlane kutsub Egeuse rändekriisist hoolimata kõiki külla, et toetada sel moel kreeklasi",UuedUudised,UuedUudised,Varia,"['ränne', 'pagulased']","['migra', 'pagula']",
Biden kuulutas juba ka USA Ladina-Ameerika immigratsioonile avatuks ja on nüüd saanud oma isikliku rändekriisi piiril Mehhikoga.,2,2,A,J,01.04.2021 08:36,"Bideni administratsioon nõuab, et Lääs impordiks islamiterrorismi seemned oma koju",UuedUudised,UuedUudised,Maailm,['ränne'],"['migra', 'rände']",
Kolmandast maailmast pärit sisserändajad toovad endaga probleemide süvenemise ja sotsiaalsüsteemile langeva koormuse.,2,2,A,J,01.08.2017 21:05,EKRE-ga liitunud Urmas Reitelmann: seedekulglaleksika lõpetaks tsiviliseeritud riigis ministri poliitilise karjääri,EkspressGrupp,Eesti Päevaleht,,['ränne'],['rända'],
"BNS-i reedene uudis Prantsusmaalt näitab, milliseid probleeme toob heaoluühiskonnale kaasa massimigratsiooni maalelubamine.",2,2,A,J,13.07.2019 06:30,Politsei ajas sajad migrantidest korrarikkujad Pariisi Panthéonist välja,UuedUudised,UuedUudised,Maailm,['ränne'],['migra'],
